iter	Accuracy	Logloss
0	0.8861154446	0.6618030685
1	0.8580343214	0.6297455329
2	0.8549141966	0.6051914718
3	0.8439937598	0.5786772577
4	0.8299531981	0.55634268
5	0.8455538222	0.5393167967
6	0.856474259	0.5232175328
7	0.8439937598	0.5047586925
8	0.8533541342	0.4889467699
9	0.856474259	0.4771486815
10	0.8533541342	0.4637749716
11	0.8439937598	0.4563341508
12	0.8471138846	0.4475629415
13	0.8533541342	0.4387261283
14	0.8611544462	0.4262992947
15	0.8627145086	0.4168278158
16	0.864274571	0.4072215667
17	0.8658346334	0.3979026851
18	0.8658346334	0.3892486201
19	0.872074883	0.3828013731
20	0.8783151326	0.3759290404
21	0.879875195	0.3683642553
22	0.8829953198	0.3626893063
23	0.8829953198	0.3567923473
24	0.8861154446	0.3520664859
25	0.8923556942	0.3462649507
26	0.8939157566	0.3415946001
27	0.8907956318	0.3375789842
28	0.8923556942	0.333645549
29	0.8923556942	0.3288114681
30	0.8939157566	0.3242234361
31	0.8985959438	0.3206483623
32	0.8985959438	0.3173155295
33	0.8985959438	0.3129212669
34	0.9001560062	0.3093905618
35	0.903276131	0.3062780801
36	0.9063962559	0.302718459
37	0.9063962559	0.2994437952
38	0.9095163807	0.2965552557
39	0.9110764431	0.2934793292
40	0.9110764431	0.2904503166
41	0.9126365055	0.2880553501
42	0.9126365055	0.2864770318
43	0.9126365055	0.2839860182
44	0.9157566303	0.2816483258
45	0.9110764431	0.279266269
46	0.9173166927	0.2777300825
47	0.9173166927	0.2755077627
48	0.9157566303	0.27430888
49	0.9173166927	0.2724189616
50	0.9157566303	0.2696448965
51	0.9173166927	0.268154549
52	0.9157566303	0.2657248058
53	0.9157566303	0.2638262131
54	0.9157566303	0.2616794697
55	0.9157566303	0.259187941
56	0.9157566303	0.2576280447
57	0.9157566303	0.2560552436
58	0.9173166927	0.254484487
59	0.9188767551	0.2526509967
60	0.9173166927	0.2508855745
61	0.9188767551	0.2489401963
62	0.9204368175	0.2474314709
63	0.9204368175	0.2453931968
64	0.9188767551	0.2439975074
65	0.9188767551	0.2431487104
66	0.9188767551	0.2430211182
67	0.9188767551	0.2420752134
68	0.9188767551	0.2406220217
69	0.9188767551	0.2391137298
70	0.9188767551	0.2381967583
71	0.9188767551	0.2380539853
72	0.9188767551	0.2376786146
73	0.9188767551	0.2376016746
74	0.9188767551	0.2355667381
75	0.9204368175	0.2337640845
76	0.9204368175	0.2328517091
77	0.9204368175	0.2317015338
78	0.9204368175	0.2316280362
79	0.9204368175	0.2314152972
80	0.9204368175	0.2313461219
81	0.9204368175	0.2304756189
82	0.9219968799	0.2292878274
83	0.9219968799	0.2291112214
84	0.9219968799	0.2290275267
85	0.9219968799	0.2289577351
86	0.9219968799	0.2288701408
87	0.9235569423	0.2275436107
88	0.9235569423	0.2274801792
89	0.9235569423	0.2273525753
90	0.9235569423	0.2264294471
91	0.9251170047	0.2262069744
92	0.9251170047	0.2243685746
93	0.9251170047	0.2243076265
94	0.9251170047	0.2241122518
95	0.9235569423	0.2225914217
96	0.9235569423	0.2224851738
97	0.9251170047	0.2216284562
98	0.9235569423	0.2212659812
99	0.9235569423	0.2211195922
100	0.9235569423	0.2210131561
101	0.9235569423	0.2209589445
102	0.9235569423	0.2208604764
103	0.9235569423	0.2201385059
104	0.9235569423	0.2200801444
105	0.9235569423	0.2197064452
106	0.9235569423	0.2195644607
107	0.9235569423	0.21951148
108	0.9235569423	0.2194642778
109	0.9235569423	0.2180866028
110	0.9235569423	0.218031564
111	0.9235569423	0.2178428238
112	0.9235569423	0.2175175119
113	0.9235569423	0.2174386346
114	0.9235569423	0.2173610301
115	0.9235569423	0.2167398921
116	0.9235569423	0.2153064121
117	0.9282371295	0.2136675544
118	0.9266770671	0.2134901207
119	0.9266770671	0.213386893
