iter	Passed	Remaining
0	171	20455
1	190	11257
2	221	8647
3	227	6602
4	235	5423
5	248	4728
6	263	4261
7	274	3845
8	290	3579
9	307	3385
10	326	3235
11	332	2988
12	346	2851
13	385	2921
14	408	2858
15	439	2854
16	460	2789
17	476	2700
18	491	2615
19	512	2562
20	536	2531
21	560	2495
22	595	2509
23	619	2476
24	644	2450
25	666	2408
26	683	2355
27	690	2267
28	706	2217
29	724	2172
30	743	2134
31	762	2095
32	782	2062
33	797	2017
34	817	1985
35	839	1959
36	868	1948
37	885	1911
38	903	1876
39	922	1845
40	947	1825
41	966	1794
42	982	1759
43	999	1726
44	1016	1693
45	1035	1665
46	1057	1642
47	1077	1616
48	1091	1581
49	1105	1548
50	1125	1522
51	1145	1497
52	1180	1492
53	1229	1502
54	1276	1508
55	1294	1479
56	1314	1452
57	1339	1432
58	1357	1403
59	1374	1374
60	1391	1345
61	1407	1316
62	1424	1288
63	1441	1261
64	1459	1235
65	1477	1208
66	1505	1191
67	1524	1165
68	1541	1139
69	1559	1113
70	1576	1087
71	1591	1060
72	1606	1034
73	1612	1002
74	1629	977
75	1645	952
76	1662	928
77	1681	905
78	1689	876
79	1708	854
80	1720	828
81	1751	811
82	1771	789
83	1795	769
84	1805	743
85	1811	716
86	1823	691
87	1836	667
88	1843	642
89	1858	619
90	1877	598
91	1901	578
92	1921	557
93	1930	534
94	1945	512
95	1959	489
96	1967	466
97	1980	444
98	1998	423
99	2012	402
100	2025	381
101	2034	358
102	2050	338
103	2065	317
104	2078	296
105	2092	276
106	2107	256
107	2126	236
108	2138	215
109	2155	195
110	2171	176
111	2184	156
112	2197	136
113	2221	116
114	2235	97
115	2250	77
116	2263	58
117	2276	38
118	2291	19
119	2309	0
