iter	RMSE
0	137891.2945
1	128104.7991
2	119495.8124
3	111749.8493
4	104994.6737
5	98833.93877
6	93703.96832
7	88809.76136
8	84158.19848
9	80035.08924
10	76730.01268
11	73531.80156
12	70810.4228
13	68328.26749
14	66224.06007
15	64592.97922
16	62731.31602
17	61246.10904
18	60103.41396
19	59094.33171
20	58038.26172
21	57137.06773
22	55874.70388
23	55198.73782
24	54118.94129
25	53349.29701
26	52851.26947
27	52428.87314
28	51676.97066
29	51089.32933
30	50699.26562
31	50445.69804
32	50179.27975
33	49848.21587
34	49539.24063
35	48962.34323
36	48732.59714
37	48581.75517
38	48272.19036
39	47925.31671
40	47577.27042
41	47453.65538
42	47175.39044
43	46980.1448
44	46563.12546
45	46459.18912
46	46240.58918
47	45906.45318
48	45726.14337
49	45545.29756
50	45330.83879
51	45260.37223
52	45111.61031
53	45016.01837
54	44918.67592
55	44861.20545
56	44639.97298
57	44585.98166
58	44415.08101
59	44319.60973
60	44266.16709
61	44067.99051
62	43933.65544
63	43854.59813
64	43694.40124
65	43545.36125
66	43448.15442
67	43311.50065
68	43226.79261
69	43124.08508
70	42865.77727
71	42825.17398
72	42708.91325
73	42524.68478
74	42446.46186
75	42362.14563
76	42207.16176
77	42123.47581
78	42050.56326
79	41973.01497
80	41911.96192
81	41762.85266
82	41577.0166
83	41491.05571
84	41377.20849
85	41254.4615
86	41228.78334
87	41144.60263
88	41088.92304
89	40851.66937
90	40739.77294
91	40616.71993
92	40574.40339
93	40520.34773
94	40468.45755
95	40276.72238
96	40230.14558
97	40149.11852
98	40077.56193
99	40050.19211
